root_news,label
"1/3 It is becoming increasingly clear that the Cholesterol/Heart hypothesis is a fallacy of modern medicine.  In the future, medical historians will liken the prescribing of Statins, which lower blood cholesterol, with the old medical practice of bloodletting. /2",1
"Chronic disease isn¡¯t bad luck¡ªit¡¯s bad food. Most of what we call ¡°medicine¡± today is just symptom management for conditions caused by what¡¯s on your plate.

We¡¯re in a full-blown epidemic of food-borne illnesses. The cure? It¡¯s NOT more pills¡ªit¡¯s fixing the food.",1
"Having hailed vaccines as a major success of modern medicine, Dr Bret Weinstein is now embarrassed to admit that he has changed his position on childhood vaccines after deeper research. 

¡®I was shocked to discover the level at which the safety work simply had not been done. Which has now been acknowledged by one of the leading proponents
 (Stanley Plotkin)¡­..

The mechanisms that are employed by vaccine manufacturers and the methods used to test or really to obscure safety signals make the products invalid from the get-go¡­.
 
At the moment I discovered that we were using a trick to hyperactive the immune system in order to make the vaccine work my thought was how could that possibly be safe¡­. and what does that have to do with all the allergies we scratch our heads over.¡¯

The antigen is non specific and can trigger the immune system to react to something that is not a pathogen like foods or something in the environment, causing life long allergies.",1
"This study of 181 countries found that increasing salt to up to 5g a day led to the LONGEST lifespan

Salt is critical to lowering cortisol, adrenaline, boosting hydration and metabolism.

Once again, mainstream medicine is wrong about salt https://t.co/tkeYwnLrub",1
"The most versatile medicine in the world:

Baking Soda.

They want you to think it's just for baking...

But this simple ingredient can do amazing things for the human body.

8 ways to use baking soda to enhance your health: https://t.co/sPPduO77ns",1
"Yes, Blue Cross Blue Shield pays your doctor?a $40,000?bonus?for fully vaccinating?100 patients under the age of 2. If your doctor?manages to fully vaccinate?200 patients, that bonus jumps?to $80,000.?

These are 2016 stats. Wonder what it is today¡­",1
"Aromatase, the enzyme that converts testosterone into estrogen, can be inhibited by stinging nettle root. A humble, safe, and widely available herb can help mitigate the dangerous rise in estrogen levels plaguing society today.

Another win for herbal medicine. Incredible. https://t.co/0OizelmEeL",0
"I have never, and will never, take a STATIN medication¡ª no matter how ¡°high¡± any physician says my cholesterol is.

Why not?

1. The lipid-cholesterol hypothesis has massive holes in it

2. I want to treat root causes, not fix numbers

3. I don¡¯t take lifetime medicines with side effects when even the shady pharma studies show at best, they may increase life expectancy by only a few days if I take it (look that up if you don¡¯t believe me¡ª but don¡¯t ask any doctor¡ª because most don¡¯t even read studies or know this)

That¡¯s my own personal health decision.

Everyone is free to make their own.",1
"For centuries, naturopaths used nature's medicine.

Then Big Pharma buried it.

But they missed Barbara O¡¯Neill¡ªa 71-year-old naturopath proving nature still heals what modern doctors can¡¯t.

Here are her 9 foundational pillars for optimal health and longevity: ?? https://t.co/iEgnoABd17",1
"The German microbiologist Sucharit Bhakdi send an important message via video in Geneva today:

""The [mRNA] program is being expanded since the WHO generally intends to replace conventional vaccines in human and veterinary medicine with mRNA injectables. 

The WHO tells us that the COVID vaccines have shown their safety, so any quality control of future [mRNA] agents is entirely unnecessary. Dear fellow citizens, for the sake of your loved ones, never forget this: Uptake and expression of a foreign gene will always cause attack of the immune system on [the affected] cell. Since all further mRNA vaccines will encode non-self, they will cause harm that will worsen with every booster. 

And for sure, contamination of mRNA vaccines will be the rule because no cost-effective procedure exists to reliably separate mass produced mRNA from plasmid DNA. 

The WHO [mRNA] program threatens mankind."" 

@P_McCulloughMD @JesslovesMJK @mattletiss7 @joerogan @EpochTimes @efenigson @VigilantFox @TheChiefNerd",1
